ccode,year,country,regionnm,protestdays,demand_labor,demand_land,demand_policebrutality,demand_political,demand_price,demand_removal,demand_social,nonviolent,protester_violence,state_violence,both_violence
70,1994,"Mexico","North America",16,0,0,0,12,0,1,0,10,2,0,0
70,1995,"Mexico","North America",33,0,1,0,8,1,0,0,8,2,0,0
70,1996,"Mexico","North America",24,0,0,0,6,0,0,0,6,0,0,0
70,1997,"Mexico","North America",9,0,0,1,3,0,0,0,3,0,0,0
70,1998,"Mexico","North America",9,0,0,2,7,0,1,0,6,1,1,1
70,1999,"Mexico","North America",4,0,0,1,3,0,0,0,1,1,1,2
70,2000,"Mexico","North America",8,4,0,2,3,0,0,0,4,4,0,0
70,2001,"Mexico","North America",6,0,0,2,2,0,0,0,4,0,0,0
70,2002,"Mexico","North America",5,0,1,0,0,0,0,0,0,1,0,0
70,2003,"Mexico","North America",2,0,0,0,2,0,0,0,1,1,0,0
70,2004,"Mexico","North America",3,0,0,0,3,0,0,0,3,0,0,0
70,2005,"Mexico","North America",2,0,0,0,2,0,0,0,2,0,0,0
70,2006,"Mexico","North America",250,1,0,1,5,0,1,0,5,1,1,1
70,2007,"Mexico","North America",5,0,0,0,4,1,0,0,5,0,0,0
70,2008,"Mexico","North America",3,0,0,0,3,0,0,0,3,0,0,0
70,2009,"Mexico","North America",5,2,0,0,5,0,0,0,5,0,0,0
70,2010,"Mexico","North America",4,0,0,0,1,0,0,0,1,0,0,0
70,2011,"Mexico","North America",5,0,0,0,2,0,0,0,2,0,0,0
70,2012,"Mexico","North America",2,0,0,1,1,0,0,0,1,1,0,0
70,2013,"Mexico","North America",24,3,0,0,0,0,0,0,2,1,0,0
70,2014,"Mexico","North America",17,1,0,10,10,0,0,0,6,8,1,1
90,1990,"Guatemala","Central America",1,0,0,1,0,0,0,0,0,0,1,1
90,1991,"Guatemala","Central America",1,1,0,0,0,1,0,0,1,0,0,0
90,1992,"Guatemala","Central America",1,0,1,0,0,0,0,0,1,0,0,0
90,1993,"Guatemala","Central America",3,2,0,0,1,2,0,0,2,1,0,0
90,1994,"Guatemala","Central America",2,0,0,1,0,1,0,0,1,0,1,1
90,1995,"Guatemala","Central America",0,0,0,0,0,0,0,0,0,0,0,0
90,1996,"Guatemala","Central America",3,0,0,0,2,1,0,0,1,2,0,0
90,1997,"Guatemala","Central America",9,1,0,1,4,2,0,0,2,2,1,1
90,1998,"Guatemala","Central America",0,0,0,0,0,0,0,0,0,0,0,0
90,1999,"Guatemala","Central America",0,0,0,0,0,0,0,0,0,0,0,0
90,2000,"Guatemala","Central America",1,0,0,0,0,1,0,0,0,1,0,0
90,2001,"Guatemala","Central America",14,0,0,0,2,12,0,0,11,3,0,0
90,2002,"Guatemala","Central America",10,4,0,0,2,1,1,0,4,4,0,0
90,2003,"Guatemala","Central America",13,6,0,0,4,0,0,0,6,4,0,0
90,2004,"Guatemala","Central America",4,0,1,0,2,2,0,0,2,2,0,0
90,2005,"Guatemala","Central America",8,0,0,0,8,0,1,0,4,2,1,2
90,2006,"Guatemala","Central America",7,0,1,0,0,0,0,0,1,0,0,0
90,2007,"Guatemala","Central America",1,0,0,0,1,0,0,0,1,0,0,0
90,2008,"Guatemala","Central America",3,0,0,0,1,1,0,0,3,0,0,0
90,2009,"Guatemala","Central America",3,0,0,0,1,0,2,0,3,0,0,0
90,2010,"Guatemala","Central America",0,0,0,0,0,0,0,0,0,0,0,0
90,2011,"Guatemala","Central America",0,0,0,0,0,0,0,0,0,0,0,0
90,2012,"Guatemala","Central America",3,0,1,1,2,1,0,0,2,0,1,1
90,2013,"Guatemala","Central America",5,0,0,0,5,0,0,0,4,1,0,0
90,2014,"Guatemala","Central America",1,0,0,0,1,0,0,0,1,0,0,0
91,1990,"Honduras","Central America",2,1,0,0,2,1,0,0,2,0,0,0
91,1991,"Honduras","Central America",2,1,0,0,1,0,0,0,1,0,1,0
91,1992,"Honduras","Central America",3,0,0,0,3,1,0,0,3,0,0,0
91,1993,"Honduras","Central America",2,0,0,0,2,0,0,0,2,0,0,0
91,1994,"Honduras","Central America",6,0,3,0,6,2,1,0,5,1,0,0
91,1995,"Honduras","Central America",3,0,0,0,3,0,0,0,2,0,1,1
91,1996,"Honduras","Central America",7,2,0,0,1,1,0,0,3,0,0,0
91,1997,"Honduras","Central America",19,3,1,0,4,2,0,0,6,0,2,2
91,1998,"Honduras","Central America",7,1,0,0,2,1,0,0,3,1,0,0
91,1999,"Honduras","Central America",11,2,1,0,3,1,0,0,5,0,0,0
91,2000,"Honduras","Central America",2,0,1,0,1,1,0,0,2,0,0,0
91,2001,"Honduras","Central America",1,1,0,0,0,0,0,0,1,0,0,0
91,2002,"Honduras","Central America",4,1,1,0,2,0,0,0,3,1,0,0
91,2003,"Honduras","Central America",1,0,0,0,1,0,0,0,0,1,0,0
91,2004,"Honduras","Central America",6,0,0,0,6,0,0,0,6,0,0,0
91,2005,"Honduras","Central America",2,0,1,0,1,0,0,0,2,0,0,0
91,2006,"Honduras","Central America",1,0,0,0,1,0,0,0,1,0,0,0
91,2007,"Honduras","Central America",2,0,0,0,2,0,0,0,1,1,0,0
91,2008,"Honduras","Central America",0,0,0,0,0,0,0,0,0,0,0,0
91,2009,"Honduras","Central America",10,0,0,0,8,0,0,0,5,4,0,0
91,2010,"Honduras","Central America",1,1,0,0,0,0,0,0,1,0,0,0
91,2011,"Honduras","Central America",20,1,0,0,6,0,0,1,4,1,1,0
91,2012,"Honduras","Central America",2,0,0,0,2,0,0,0,1,1,0,0
91,2013,"Honduras","Central America",5,0,0,0,5,0,0,0,5,0,0,0
91,2014,"Honduras","Central America",0,0,0,0,0,0,0,0,0,0,0,0
92,1990,"El Salvador","Central America",0,0,0,0,0,0,0,0,0,0,0,0
92,1991,"El Salvador","Central America",1,0,0,0,1,0,0,0,0,0,1,0
92,1992,"El Salvador","Central America",0,0,0,0,0,0,0,0,0,0,0,0
92,1993,"El Salvador","Central America",2,0,0,0,2,0,0,0,1,0,1,1
92,1994,"El Salvador","Central America",0,0,0,0,0,0,0,0,0,0,0,0
92,1995,"El Salvador","Central America",14,2,1,1,7,1,0,0,5,5,2,2
92,1996,"El Salvador","Central America",33,2,0,0,2,0,0,0,3,1,0,0
92,1997,"El Salvador","Central America",1,0,0,0,1,0,0,0,1,0,0,0
92,1998,"El Salvador","Central America",4,1,0,0,3,0,0,0,4,0,0,0
